          Lplate_205  |           inside_02  |                Left plate 205  |                  -8*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Rplate_205  |           inside_02  |               Right plate 205  |                  13*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          eboard_205  |           inside_02  |         Electronics board 205  |                 6.5*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 9AB973   |                 Box  |                                       1*mm 116.75*mm 110*mm  |                 G10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Lplate_206  |           inside_02  |                Left plate 206  |               17.42*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Rplate_206  |           inside_02  |               Right plate 206  |               38.42*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          eboard_206  |           inside_02  |         Electronics board 206  |               31.92*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 9AB973   |                 Box  |                                       1*mm 116.75*mm 110*mm  |                 G10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Lplate_207  |           inside_02  |                Left plate 207  |               42.84*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Rplate_207  |           inside_02  |               Right plate 207  |               63.84*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          eboard_207  |           inside_02  |         Electronics board 207  |               57.34*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 9AB973   |                 Box  |                                       1*mm 116.75*mm 110*mm  |                 G10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Lplate_208  |           inside_02  |                Left plate 208  |               68.26*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Rplate_208  |           inside_02  |               Right plate 208  |               89.26*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          eboard_208  |           inside_02  |         Electronics board 208  |               82.76*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 9AB973   |                 Box  |                                       1*mm 116.75*mm 110*mm  |                 G10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Lplate_209  |           inside_02  |                Left plate 209  |               93.68*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Rplate_209  |           inside_02  |               Right plate 209  |              114.68*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          eboard_209  |           inside_02  |         Electronics board 209  |              108.18*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 9AB973   |                 Box  |                                       1*mm 116.75*mm 110*mm  |                 G10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           inside_03  |            crate_03  |               Inside of crate  |                               2.5*mm 0*mm 0.05*mm  |                       0*deg 0*deg 0*deg  | eeeeee   |                 Box  |                               116.89*mm 130.25*mm 110.92*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          Lplate_301  |           inside_03  |                Left plate 301  |             -109.68*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Rplate_301  |           inside_03  |               Right plate 301  |              -88.68*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          eboard_301  |           inside_03  |         Electronics board 301  |              -95.18*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 9AB973   |                 Box  |                                       1*mm 116.75*mm 110*mm  |                 G10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Lplate_302  |           inside_03  |                Left plate 302  |              -84.26*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Rplate_302  |           inside_03  |               Right plate 302  |              -63.26*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          eboard_302  |           inside_03  |         Electronics board 302  |              -69.76*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 9AB973   |                 Box  |                                       1*mm 116.75*mm 110*mm  |                 G10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Lplate_303  |           inside_03  |                Left plate 303  |              -58.84*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Rplate_303  |           inside_03  |               Right plate 303  |              -37.84*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          eboard_303  |           inside_03  |         Electronics board 303  |              -44.34*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 9AB973   |                 Box  |                                       1*mm 116.75*mm 110*mm  |                 G10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Lplate_304  |           inside_03  |                Left plate 304  |              -33.42*mm 0*mm -0.379999999999995*mm  |                       0*deg 0*deg 0*deg  | 888888   |                 Box  |                                      0.3*mm 116*mm 107.5*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
